SchoolDepartment,ProjectTitle,Finish Time,Email,RequiredSkill,Professors,GainedSkill,strartingOrAsgnmtDate,Hour
Quality Assurance and Risk Mgmt,Add Documents to 2020 Core Committee Page,,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,04-03-2019,07:51:00 PM
Quality Assurance and Risk Mgmt,White River High School Election Video,,kfoulstone0@instagram.com,Video Editing and Production,Fatima Zahra El Idrissi,,04-03-2019,07:56:00 PM
Quality Assurance and Risk Manag,Pet License Roster Web Edits,,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,04-03-2019,08:12:00 PM
Quality Assurance and Risk Manag,FJC Shred Event Flyer,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Video Editing, Graphic Design, Technical Documentation, News and Media Communication",2019-03-04,22:27:00
Quality Assurance & Risk Management,Create Artwork for new Large Dropboxes,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,,11-03-2019,15:38:00
Quality Assurance and Risk Manag,2020 Census Countdown Widget for Website,,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,,2019-03-15,06:53:00 PM
Quality Assurance and Risk Mgmt,Add New 2020 Census Jobs to Website,,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,,2019-03-15,07:03:00 PM
Quality Assurance and Risk Manag,Redesign Election Envelopes,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Writing and Editing, Graphic Design, Proofreading and Quality Assurance",2019-03-15,19:23:00
Quality Assurance & Risk Management,Redesign Election Inserts,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Proofreading and Quality Assurance, Writing and Editing, Technical Documentation",15-03-2019,07:26:00 PM
Quality Assurance and Risk Manag,"Print, Cut, Fold 25 Leg Brochures",,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Technical Documentation,2019-03-15,07:29:00 PM
Quality Assurance & Risk Management,Kennel Brochure,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Proofreading and Quality Assurance, Writing and Editing, Video Editing, Technical Documentation",2019-03-15,07:40:00 PM
Tech Communication and Media,Social Planning,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,"Social Media Strategy, Graphic Design, Video Editing, Writing and Editing, Public Outreach and Engagement, Proofreading and Quality Assurance",15-03-2019,07:45:00 PM
Engineering Leadership and Strat,State of the County on FB,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,"Public Outreach and Engagement, Writing and Editing, Social Media Strategy, Video Editing and Production",2019-03-15,19:46:00
Engineering Leadership and Strat,Design State of the County Live Tweet Graphics,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,15-03-2019,07:47:00 PM
Eng Leadership and Strategy,Live Tweet at State of the County,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,2019-03-15,07:48:00 PM
Engineering Leadership and Strat,Generate Live Stream FB Keys for PCTV for SOTC,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,2019-03-15,07:49:00 PM
Quality Assurance and Risk Manag,Civic Handout Update,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Video Editing, Technical Documentation, Graphic Design, Proofreading and Quality Assurance",15-03-2019,19:51:00
Quality Assurance and Risk Mgmt,Update 2020 Census Webpages/Rosters,,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,2019-03-19,04:19:00 PM
Academic Affairs & Staff Development,LinkedIn Learning employee video,,kfoulstone0@instagram.com,Video Editing and Production,Fatima Zahra El Idrissi,Video Editing and Production,26-03-2019,10:07:00 PM
Tech Communication and Media,Social Planning,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,2019-04-16,07:03:00 PM
Technical Comm and Media,Social Planning,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,2019-04-16,19:04:00
Technical Communication & Media,Social Planning,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,2019-04-16,07:04:00 PM
Technical Comm and Media,Social Planning,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,2019-04-16,07:05:00 PM
Technical Comm and Media,Social Planning,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,16-04-2019,19:06:00
Technical Communication & Media,Social Planning,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,2019-04-16,19:06:00
Quality Assurance and Risk Manag,April 23 Special Election at a Glance,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,16-04-2019,07:08:00 PM
Quality Assurance and Risk Mgmt,Update Branding Guidelines for Auditor's Office,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",16-04-2019,07:11:00 PM
