SchoolDepartment,CourseTitle,Finish Time,Email,RequiredSkill,Professors,GainedSkill,strartingOrAsgnmtDate,Hour,StartTime
Financial Eng,CFAPPs link review,2020-03-17 21:53:00,aoldam5@eepurl.com,Unknoun,Ahmed Bouzoubaa,Website Programming,2020-02-10,22:37:00,2020-02-10 22:37:00
Financal Engineering,New Website Coordinator Process,2020-03-23 17:37:00,aoldam5@eepurl.com,Internal and External Communication,Ahmed Bouzoubaa,"Writing and Editing, Internal and External Communication",2020-02-10,22:49:00,2020-02-10 22:49:00
Financal Engineering,RPAS Page Updates,2020-03-23 17:51:00,aoldam5@eepurl.com,"Website Programming, Video Editing and Production",Ahmed Bouzoubaa,"Website Programming, Video Editing and Production",2020-03-11,00:49:00,2020-03-11 00:49:00
Financial Eng,IT Remote Access Support,2020-03-24 20:18:00,aoldam5@eepurl.com,Internal and External Communication,Ahmed Bouzoubaa,"Internal and External Communication, Proofreading and Quality Assurance",2020-03-13,21:25:00,2020-03-13 21:25:00
Financal Engineering,Intranet redesign,2020-04-09 18:33:00,aoldam5@eepurl.com,Website Programming,Ahmed Bouzoubaa,"Website Programming, Writing and Editing, Proofreading and Quality Assurance, Graphic Design",2020-03-13,21:30:00,2020-03-13 21:30:00
Financial Eng,OpenText Page Redesign,2020-04-09 22:13:00,aoldam5@eepurl.com,Website Programming,Ahmed Bouzoubaa,Website Programming,2020-03-17,21:53:00,2020-03-17 21:53:00
Financal Engineering,Workday Video Update,2020-05-11 20:24:00,aoldam5@eepurl.com,Video Editing and Production,Ahmed Bouzoubaa,"Video Editing and Production, Website Programming",2020-03-23,17:37:00,2020-03-23 17:37:00
Financial Enginering,Video Best Practices Guide,2020-06-10 17:19:00,aoldam5@eepurl.com,Video Editing and Production,Ahmed Bouzoubaa,Video Editing and Production,2020-03-23,17:51:00,2020-03-23 17:51:00
Academic Affairs and Staff Dev,DEI Video Editing,2020-06-11 01:17:00,aoldam5@eepurl.com,Video Editing and Production,Ahmed Bouzoubaa,Video Editing and Production,2020-03-24,20:18:00,2020-03-24 20:18:00
Safety Engineering & Crisis Management,Unknoun,2020-06-11 17:11:00,aoldam5@eepurl.com,"Graphic Design/Marketing (Brochures, Posters, Reports), Website Programming",Ahmed Bouzoubaa,"Graphic Design, Proofreading and Quality Assurance, Technical Documentation",2020-04-09,18:33:00,2020-04-09 18:33:00
Financal Engineering,Video Conferencing page,2020-07-10 00:14:00,aoldam5@eepurl.com,Website Programming,Ahmed Bouzoubaa,"Website Programming, Writing and Editing",2020-04-09,22:13:00,2020-04-09 22:13:00
Financal Engineering,Avaya IX Workplace documentation,2020-07-20 16:26:00,aoldam5@eepurl.com,"Video Editing and Production, Internal and External Communication",Ahmed Bouzoubaa,"Graphic Design, Proofreading and Quality Assurance, Video Editing and Production",2020-05-11,20:24:00,2020-05-11 20:24:00
Financial Eng,Chuck Buzzard's retirement,2020-07-20 19:28:00,aoldam5@eepurl.com,Internal and External Communication,Ahmed Bouzoubaa,"Internal and External Communication, Website Programming, Proofreading and Quality Assurance, Writing and Editing",2020-06-10,17:19:00,2020-06-10 17:19:00
Financial Eng,Review old web team requests,2020-07-20 19:57:00,aoldam5@eepurl.com,Website Programming,Ahmed Bouzoubaa,Website Programming,2020-06-11,01:17:00,2020-06-11 01:17:00
Financal Engineering,Investigate photo issue for Want Ads,2020-07-27 17:39:00,aoldam5@eepurl.com,Website Programming,Ahmed Bouzoubaa,"Website Programming, Internal and External Communication",2020-06-11,17:11:00,2020-06-11 17:11:00
Financal Engineering,Microsoft Stream Migration,2020-08-05 00:47:00,aoldam5@eepurl.com,Unknoun,Ahmed Bouzoubaa,No Skill,2020-07-10,00:14:00,2020-07-10 00:14:00
Financal Engineering,IT Standing Ovation Awards,2020-08-11 00:16:00,aoldam5@eepurl.com,Technical Writing,Ahmed Bouzoubaa,"Proofreading and Quality Assurance, Technical Documentation, Writing and Editing",2020-07-20,16:26:00,2020-07-20 16:26:00
Financal Engineering,Office 365 Class Promotion,2020-08-18 00:37:00,aoldam5@eepurl.com,Unknoun,Ahmed Bouzoubaa,"Writing and Editing, Internal and External Communication, Website Programming",2020-07-20,19:28:00,2020-07-20 19:28:00
Financial Enginering,LinkedIn Congratulations to Interns Post,2020-09-01 23:34:00,aoldam5@eepurl.com,Website Programming,Ahmed Bouzoubaa,Social Media Strategy,2020-07-20,19:57:00,2020-07-20 19:57:00
Financial Eng,Technology Security Training,2020-09-11 23:18:00,aoldam5@eepurl.com,"Website Programming, Communication Planning/Strategy",Ahmed Bouzoubaa,"Website Programming, Graphic Design, News and Media Communication",2020-07-27,17:39:00,2020-07-27 17:39:00
Financial Eng,Smartsheet Support Page,2020-09-24 17:35:00,aoldam5@eepurl.com,Website Programming,Ahmed Bouzoubaa,"Website Programming, Proofreading and Quality Assurance",2020-08-05,00:47:00,2020-08-05 00:47:00
Financial Enginering,EAM Page Updates,2020-10-07 00:00:00,aoldam5@eepurl.com,Unknoun,Ahmed Bouzoubaa,Website Programming,2020-08-11,00:16:00,2020-08-11 00:16:00
Financial Enginering,Vendor Questionnaire,2020-10-15 22:56:00,aoldam5@eepurl.com,Website Programming,Ahmed Bouzoubaa,Website Programming,2020-08-18,00:37:00,2020-08-18 00:37:00
Financial Eng,County Employee PRA & Records Management PowerPoint,2020-10-28 20:06:00,aoldam5@eepurl.com,"Internal and External Communication, Video Editing and Production",Ahmed Bouzoubaa,"Internal and External Communication, Video Editing and Production",2020-09-01,23:34:00,2020-09-01 23:34:00
Financial Enginering,Workday Fall Update Announcement,2020-10-28 20:10:00,aoldam5@eepurl.com,"Website Programming, Internal and External Communication",Ahmed Bouzoubaa,"Internal and External Communication, Website Programming",2020-09-11,23:18:00,2020-09-11 23:18:00
Financial Eng,Cybersecurity Officer and Data Analyst LinkedIn Posts,2020-11-03 00:43:00,aoldam5@eepurl.com,Social Media Strategy,Ahmed Bouzoubaa,Social Media Strategy,2020-09-24,17:35:00,2020-09-24 17:35:00
Financal Engineering,Skype Shutdown Announcement,2020-11-05 20:28:00,aoldam5@eepurl.com,Website Programming,Ahmed Bouzoubaa,Website Programming,2020-10-07,00:00:00,2020-10-07 00:00:00
Academic Affairs & Staff Development,HR Website Updates,2020-11-05 22:03:00,aoldam5@eepurl.com,"Video Editing and Production, Website Programming",Ahmed Bouzoubaa,"Video Editing and Production, Website Programming",2020-10-15,22:56:00,2020-10-15 22:56:00
Academic Affairs and Staff Devel,Workday HR Video Update,2020-11-08 00:15:00,aoldam5@eepurl.com,"Video Editing and Production, Website Programming",Ahmed Bouzoubaa,"Graphic Design, Website Programming",2020-10-28,20:06:00,2020-10-28 20:06:00
Technical Comm and Media,Standing Ovation Video Promotions,2020-11-17 17:26:00,aoldam5@eepurl.com,"Video Editing and Production, Social Media Strategy",Ahmed Bouzoubaa,"Video Editing and Production, Social Media Strategy",2020-10-28,20:10:00,2020-10-28 20:10:00
Technical Communication & Media,Halloween,2020-11-17 17:41:00,aoldam5@eepurl.com,"Website Programming, Internal and External Communication",Ahmed Bouzoubaa,"Website Programming, Internal and External Communication",2020-11-03,00:43:00,2020-11-03 00:43:00
Financial Eng,Microsoft Teams Webinar Promotion,2020-11-30 22:01:00,aoldam5@eepurl.com,"Video Editing and Production, Internal and External Communication",Ahmed Bouzoubaa,"Video Editing and Production, Internal and External Communication",2020-11-05,20:28:00,2020-11-05 20:28:00
Financial Eng,Open Checkbook Video,2020-12-03 00:22:00,aoldam5@eepurl.com,Video Editing and Production,Ahmed Bouzoubaa,"Video Editing and Production, Writing and Editing",2020-11-05,22:03:00,2020-11-05 22:03:00
Financal Engineering,Remote Worker Training Video,2020-12-08 20:21:00,aoldam5@eepurl.com,Unknoun,Ahmed Bouzoubaa,Video Editing and Production,2020-11-08,00:15:00,2020-11-08 00:15:00
Technical Comm and Media,Veterans Day Gallery,2020-12-09 00:27:00,aoldam5@eepurl.com,Unknoun,Ahmed Bouzoubaa,"Internal and External Communication, Website Programming",2020-11-17,17:26:00,2020-11-17 17:26:00
Administrative and Procedural Engin,Add redirect for Officer Subpoena Page,2020-12-22 22:43:00,aoldam5@eepurl.com,Website Programming,Ahmed Bouzoubaa,Website Programming,2020-11-17,17:41:00,2020-11-17 17:41:00
